tau_clf,tau_entropy,tau_cos,tau_margin,tau_knn,accepted,coverage,precision
0.9,0.6,0.7,0.15,0.6,12728,0.7066400177659338,0.9890006285355123
0.9,0.6,0.7,0.2,0.6,12728,0.7066400177659338,0.9890006285355123
0.85,0.6,0.9,0.1,0.6,12023,0.667499444814568,0.9872743907510605
0.85,0.6,0.9,0.15,0.6,12023,0.667499444814568,0.9872743907510605
0.85,0.6,0.9,0.2,0.6,12023,0.667499444814568,0.9872743907510605
0.85,0.6,0.8,0.1,0.8,13284,0.737508327781479,0.9859981933152665
0.85,0.6,0.8,0.15,0.8,13284,0.737508327781479,0.9859981933152665
0.85,0.6,0.8,0.2,0.8,13284,0.737508327781479,0.9859981933152665
0.85,0.6,0.7,0.1,0.8,13354,0.7413946258050189,0.9858469372472667
0.85,0.6,0.7,0.15,0.8,13354,0.7413946258050189,0.9858469372472667
0.85,0.6,0.7,0.2,0.8,13354,0.7413946258050189,0.9858469372472667
0.85,0.6,0.8,0.1,0.6,13597,0.7548856318010215,0.9832315952048246
0.85,0.6,0.8,0.15,0.6,13597,0.7548856318010215,0.9832315952048246
0.85,0.6,0.8,0.2,0.6,13597,0.7548856318010215,0.9832315952048246
0.85,0.6,0.7,0.1,0.6,13672,0.7590495225405285,0.9830310122878877
0.85,0.6,0.7,0.15,0.6,13672,0.7590495225405285,0.9830310122878877
0.85,0.6,0.7,0.2,0.6,13672,0.7590495225405285,0.9830310122878877
